IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
PUE,128322,145,N-1,19/20,usare il gass per tenere bianco il punto,,,,GIUNTA,24/09/2021 12:52:48,24/09/2021 12:53:41,,,,,,
PUE,9010716100,252,PUNTATRICE N1,33,PUNTARE CON IL GASS PER NN FARE NERO,,,,GIUNTA,15/10/2021 10:20:26,15/10/2021 10:21:06,,,,,,
