IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
SAL,FNAB580029,406,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,06/12/2021 12:54:21,06/12/2021 12:54:33,,,,,,
SAL,FNY8584475,407,MICORMIG 350,3.5,sal strappi,,,,ALESSANDRO,06/12/2021 16:14:35,06/12/2021 16:14:47,,,,,,
SAL,FNY8382533,409,MICORMIG 350,3.5,sal strappi,,,,ALESSANDRO,07/12/2021 14:47:06,07/12/2021 14:47:16,,,,,,
SAL,FNX0253193,410,T110 TIG,prog. 13 . 70,sal strappi,,,,ALESSANDRO,07/12/2021 15:30:01,07/12/2021 15:30:36,,,,,,
SAL,IN-27520,411,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,09/12/2021 08:49:06,09/12/2021 08:49:25,,,,,,
SAL,FNY8201168,412,MICORMIG 350,3.5,sal strappi,,,,ALESSANDRO,09/12/2021 09:11:55,09/12/2021 09:12:06,,,,,,
SAL,OV311221,413,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,09/12/2021 11:07:31,09/12/2021 11:07:45,,,,,,
SAL,FNX0259417,415,MICORMIG 350,3.0,sal angoli e pulire,,,,ALESSANDRO,09/12/2021 13:35:16,09/12/2021 13:35:36,,,,,,
SAL,FNY8154516,416,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,10/12/2021 11:03:55,10/12/2021 11:04:16,,,,,,
SAL,7096710,417,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,13/12/2021 09:42:00,13/12/2021 09:42:12,,,,,,
SAL,IM-22182,418,MICORMIG 350,2.5,sal strappi pulire est.,,,,ALESSANDRO,13/12/2021 12:18:35,13/12/2021 12:19:15,,,,,,
SAL,FNY8150003,419,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,14/12/2021 08:24:22,14/12/2021 08:24:35,,,,,,
SAL,IS-24303,420,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,14/12/2021 15:37:30,14/12/2021 15:37:43,,,,,,
SAL,OV328344,421,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,20/12/2021 12:42:18,20/12/2021 12:42:29,,,,,,
SAL,OV328123,422,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,20/12/2021 12:42:41,20/12/2021 12:42:54,,,,,,
SAL,OV328500,423,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,20/12/2021 16:14:04,20/12/2021 16:14:17,,,,,,
SAL,IR-43264,424,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,21/12/2021 16:44:21,21/12/2021 16:44:43,,,,,,
SAL,FNY8452292,431,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,24/01/2022 08:56:17,24/01/2022 08:56:37,,,,,,
SAL,FNY8452291,432,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,24/01/2022 12:27:56,24/01/2022 12:28:13,,,,,,
SAL,7096709,434,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,04/02/2022 11:50:49,04/02/2022 11:51:13,,,,,,
SAL,FNY8383022,435,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,04/02/2022 11:51:26,04/02/2022 11:52:00,,,,,,
SAL,FNW6630037,436,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,04/02/2022 11:52:11,04/02/2022 11:52:22,,,,,,
SAL,OV315315,437,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,04/02/2022 11:52:33,04/02/2022 11:52:51,,,,,,
SAL,FNW6630036,438,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,04/02/2022 11:53:02,04/02/2022 11:53:16,,,,,,
SAL,FNY8440175,440,MICORMIG 350,3.0,sal strappi pulire est.,,,,ALESSANDRO,15/02/2022 07:58:06,15/02/2022 07:58:48,,,,,,
SAL,OV323356,441,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,15/02/2022 08:56:45,15/02/2022 08:57:04,,,,,,
SAL,OV327405,442,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,15/02/2022 15:59:43,15/02/2022 16:00:03,,,,,,
SAL,FNY8582671,445,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,21/02/2022 09:24:41,21/02/2022 09:24:54,,,,,,
SAL,IN204615,447,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,24/02/2022 10:26:14,24/02/2022 10:26:30,,,,,,
SAL,IN204606,448,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,24/02/2022 11:36:20,24/02/2022 11:36:33,,,,,,
SAL,IN203237,449,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,24/02/2022 12:15:20,24/02/2022 12:15:36,,,,,,
