IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
SAL,FNX0259228,286,MICORMIG 350,3.0,sald a tratti piu dado m8,,,,ALESSANDRO,22/10/2021 15:04:26,22/10/2021 15:05:20,,,,,,
SAL,VASCA_201111,287,T110 TIG,programma 1 corrente 220,sal stagno pulire etsr.,,,,ALESSANDRO,22/10/2021 17:06:57,22/10/2021 17:07:14,,,,,,
SAL,FNX0256830,288,T110 TIG,programma 1 corrente 220,sal strappi pulire est.,,,,ALESSANDRO,23/10/2021 11:06:50,23/10/2021 11:07:17,,,,,,
SAL,FNY8201148,289,MICORMIG 350,3.0,sal strappi pulire est.,,,,ALESSANDRO,25/10/2021 08:24:55,25/10/2021 08:25:11,,,,,,
SAL,FNY8381876,290,MICORMIG 350,3.0,sal strappi pulire est.,,,,ALESSANDRO,25/10/2021 08:25:49,25/10/2021 08:26:04,,,,,,
SAL,FNAT050078,291,T110 TIG,programma 1 corrente 220,sal stagno pulire etsr.,,,,ALESSANDRO,25/10/2021 13:03:08,25/10/2021 13:03:22,,,,,,
SAL,FNX2286178,292,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,25/10/2021 15:10:45,25/10/2021 15:11:02,,,,,,
SAL,FNX2282009,293,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,26/10/2021 09:55:23,26/10/2021 09:55:38,,,,,,
SAL,40005966,294,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,26/10/2021 12:30:03,26/10/2021 12:30:48,,,,,,
SAL,OV322152,296,MICORMIG 350,3.0,sal internamente continuo,,,,ALESSANDRO,26/10/2021 15:25:45,26/10/2021 15:26:04,,,,,,
SAL,1214L1074,297,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,26/10/2021 16:16:14,26/10/2021 16:17:00,,,,,,
SAL,PRAPIAGAMH600,299,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,27/10/2021 09:44:02,27/10/2021 09:44:21,,,,,,
SAL,FNX0256365,300,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,27/10/2021 11:57:22,27/10/2021 11:57:32,,,,,,
SAL,LM930967,303,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,28/10/2021 13:18:49,28/10/2021 13:19:31,,,,,,
SAL,FNX2282539,305,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,28/10/2021 16:03:01,28/10/2021 16:03:14,,,,,,
SAL,FNX2282553,306,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,28/10/2021 16:03:28,28/10/2021 16:03:37,,,,,,
SAL,FNY8154687,308,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,29/10/2021 11:41:16,29/10/2021 11:41:28,,,,,,
SAL,OV311846,309,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,29/10/2021 12:42:02,29/10/2021 12:42:34,,,,,,
SAL,IN-26274,310,MICORMIG 350,1.8,sald. Dado,,,,ALESSANDRO,02/11/2021 09:18:05,02/11/2021 09:18:40,,,,,,
SAL,7785991,311,MICORMIG 350,3.0,sal strappi pulire est.,,,,ALESSANDRO,02/11/2021 10:07:31,02/11/2021 10:07:55,,,,,,
SAL,IN-27519,314,T110 TIG,programma 1 corrente 220,sal stagno pulire etsr.,,,,ALESSANDRO,02/11/2021 11:36:11,02/11/2021 11:36:27,,,,,,
SAL,FNY8300027,317,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,03/11/2021 12:11:23,03/11/2021 12:11:38,,,,,,
SAL,FNX2530726,318,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,03/11/2021 13:14:15,03/11/2021 13:14:25,,,,,,
SAL,FNY8440166,321,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,04/11/2021 11:48:16,04/11/2021 11:48:28,,,,,,
SAL,FNX2285733,322,MICORMIG 350,1.8,sal stagno pulire etsr.,,,,ALESSANDRO,05/11/2021 09:23:57,05/11/2021 09:24:09,,,,,,
SAL,IN-28238,325,MICORMIG 350,1.8,punti di saldatura pulire con carta sottile togliere eventuali rigature,,,,ALESSANDRO,05/11/2021 12:50:14,05/11/2021 12:51:19,,,,,,
SAL,1205A2182,327,T110 TIG,prog. 13 . 70,sal strappi,,,,ALESSANDRO,08/11/2021 09:05:10,08/11/2021 09:05:28,,,,,,
